#Release 8.2i - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Fri Apr 16 08:17:39 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_map.ncd
#OUTPUT FILE:      top_pad.csv
#PART TYPE:        xc3s1000
#SPEED GRADE:      -5
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,,
A3,slideswitch<1>,IOB,IO/VREF_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
A4,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,,
A5,,IOB,IO,UNUSED,,0,,,,,,,,,,
A6,,,VCCAUX,,,,,,,,2.5,,,,,
A7,,IOB,IO,UNUSED,,0,,,,,,,,,,
A8,,DIFFM,IO_L32P_0/GCLK6,UNUSED,,0,,,,,,,,,,
A9,,IOB,IO,UNUSED,,1,,,,,,,,,,
A10,,DIFFS,IO_L31N_1/VREF_1,UNUSED,,1,,,,,,,,,,
A11,,,VCCAUX,,,,,,,,2.5,,,,,
A12,,IOB,IO,UNUSED,,1,,,,,,,,,,
A13,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,,
A14,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,,
A15,,,TDO,,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,,
B1,,DIFFM,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,,
B3,,,PROG_B,,,,,,,,,,,,,
B4,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,,
B5,ide_da<0>,IOB,IO_L25P_0,OUTPUT,LVCMOS25,0,12,SLOW,NONE**,,,,,NO,NONE,
B6,,DIFFM,IO_L28P_0,UNUSED,,0,,,,,,,,,,
B7,,DIFFM,IO_L30P_0,UNUSED,,0,,,,,,,,,,
B8,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,,
B9,,,GND,,,,,,,,,,,,,
B10,sram1_io<15>,IOB,IO_L31P_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
B11,sram1_io<12>,IOB,IO_L29N_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
B12,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,,
B13,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,,
B14,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,,
B15,,,GND,,,,,,,,,,,,,
B16,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,,
C1,,DIFFS,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,,,,
C2,sram2_io<9>,IOB,IO_L16N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
